"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ERBB3",2.98858716826655e-202,1.56991864177835,0.258,0.099,7.92304344179146e-198
"TMEM63A",6.79184389852335e-182,1.56601333010018,0.209,0.073,1.80058573593753e-177
"GUCY1A3",3.72782635468124e-106,1.56492337996152,0.112,0.035,9.88284044889543e-102
"KIAA1522",1.12931152640565e-245,1.55977159677661,0.294,0.11,2.99391778765401e-241
"SERTAD4-AS1",2.49014838846944e-244,1.55761639954899,0.22,0.062,6.60163239267133e-240
"SEP15",0,1.55601623051013,0.49,0.172,0
"SEPW1",0,1.55355677919733,0.604,0.222,0
"PTPRK",4.66577975812237e-281,1.55348226221205,0.315,0.113,1.23694487167582e-276
"LINC00969",1.14790614574259e-265,1.55134232730383,0.303,0.107,3.04321398297819e-261
"MMP24-AS1",0,1.54982456694437,0.431,0.155,0
"METTL10",5.58392831094186e-111,1.5489303537432,0.139,0.05,1.4803552345138e-106
"ZZZ3",3.81609372688504e-87,1.54750317688879,0.114,0.041,1.01168460793449e-82
"CRACR2B",3.19233454805531e-212,1.54374004033459,0.327,0.148,8.46319812034943e-208
"PSMD5-AS1",2.86690323226517e-120,1.53836298761199,0.163,0.062,7.6004471590582e-116
"PARD6B",1.98347587625397e-134,1.53831332613377,0.192,0.077,5.25839289553691e-130
"AZGP1",4.26272327202893e-218,1.53676363175982,0.251,0.087,1.13009056664759e-213
"ATPIF1",0,1.53602921306917,0.536,0.197,0
"ZC3H11A",5.16882286888625e-283,1.53567018991806,0.326,0.117,1.37030663077043e-278
"ZCCHC6",3.33133128805611e-104,1.53457624207392,0.127,0.044,8.83169237776555e-100
"GPX1",0,1.53454530254192,0.625,0.234,0
"RP11-983P16.4",3.93685588316235e-122,1.53227778148999,0.143,0.049,1.04369986318517e-117
"FAM134C",7.39561527454416e-109,1.52824979983735,0.135,0.047,1.9606515654344e-104
"TNFSF15",9.22061029928849e-125,1.5274913866455,0.106,0.028,2.44447599644437e-120
"OSER1-AS1",7.3483274926495e-81,1.52241779157706,0.107,0.039,1.94811510157631e-76
"HNRNPA1L2",1.0621881693278e-123,1.5199852338261,0.161,0.06,2.81596705570492e-119
"BMP2",1.06801988447985e-157,1.51914444890622,0.218,0.086,2.83142751574453e-153
"SNX7",1.03984256102781e-140,1.50830863038384,0.151,0.048,2.75672661354084e-136
"CREB3L1",2.0453225061728e-227,1.50652216453776,0.29,0.111,5.42235449611472e-223
"ADRBK1",1.65907837362446e-125,1.50458967642209,0.151,0.052,4.39838267631581e-121
"IL10RB",1.14742562945619e-204,1.49978212705874,0.245,0.088,3.0419400862513e-200
"CCDC109B",4.86156157103015e-123,1.49792685444215,0.168,0.064,1.2888485880958e-118
"RAB4B",2.90812853493827e-111,1.48942017476851,0.156,0.06,7.70973955897484e-107
"MCC",8.78095929684274e-104,1.48848261085043,0.102,0.03,2.32792011918598e-99
"ITPKC",3.43434827969958e-166,1.48319202404167,0.265,0.117,9.10480072431157e-162
"LIFR",6.66530624104682e-92,1.48227313093119,0.177,0.082,1.76703933756392e-87
"C14orf166",0,1.47946395099551,0.513,0.189,0
"HNMT",0,1.47464760044351,0.344,0.117,0
"RP11-382A20.3",4.85137743902528e-191,1.47255634156215,0.24,0.088,1.28614867285999e-186
"SCO2",2.57297223511795e-149,1.4715119107825,0.189,0.068,6.82120669252119e-145
"C3orf52",8.02736354833792e-71,1.46568642381364,0.112,0.046,2.12813435029987e-66
"LMO7",1.79489576849362e-150,1.4654848745927,0.193,0.072,4.75844817185344e-146
"ATP5F1",0,1.46311372781642,0.398,0.147,0
"DHRS3",0,1.46104893669424,0.434,0.175,0
"C10orf10",2.05266042018083e-124,1.45746586927385,0.16,0.058,5.44180803994139e-120
"RP11-670E13.6",4.87063135480419e-92,1.45689901735247,0.115,0.041,1.29125307847214e-87
"ICAM4",2.46696631493993e-115,1.45601934147935,0.124,0.039,6.54017439753725e-111
"ITGA6",1.85749643278442e-200,1.45464710607749,0.25,0.093,4.92440879295476e-196
"LEPR",3.21626370270434e-90,1.4528684052662,0.113,0.04,8.52663670223948e-86
"AC074117.10",5.10678297952683e-73,1.45133630875011,0.109,0.043,1.35385923570236e-68
"CTD-2015H6.3",1.2473509806411e-127,1.44972012161492,0.17,0.063,3.30685218477763e-123
"ST6GALNAC6",2.32884839933035e-118,1.4483445684691,0.141,0.048,6.1740099914647e-114
"ATP5G2",0,1.44535669093129,0.639,0.243,0
"ATP5L",0,1.44490981496052,0.64,0.243,0
"TSPAN15",6.40148893452204e-125,1.44422881102531,0.18,0.071,1.69709873143114e-120
"AQP3",3.42048576638313e-256,1.44289342162842,0.352,0.146,9.06804981525833e-252
"MME",1.55645908560758e-85,1.44197900744854,0.14,0.058,4.12632868185426e-81
"C16orf52",1.38619730961553e-127,1.43317838260913,0.161,0.058,3.67494768752174e-123
"TOPORS-AS1",4.92460028397911e-158,1.43267297971241,0.215,0.082,1.3055607812857e-153
"GNB2L1",0,1.43094245593062,0.644,0.245,0
"COL27A1",1.42212904393554e-120,1.4305809744276,0.116,0.034,3.77020630837752e-116
"SMAGP",1.80415195211043e-168,1.42801305156565,0.235,0.093,4.78298724023997e-164
