"Gene","sample_id","Expression"
"MMP9","TCGA-HC-7232-01",5.6596
"MMP9","TCGA-HC-A6HX-01",8.0319
"MMP9","TCGA-XJ-A9DQ-01",4.6347
"MMP9","TCGA-G9-6351-01",4.1945
"MMP9","TCGA-EJ-5510-01",6.9033
"MMP9","TCGA-VP-A87D-01",4.8702
"MMP9","TCGA-QU-A6IO-01",7.8903
"MMP9","TCGA-EJ-7792-01",8.65
"MMP9","TCGA-G9-6348-11",6.554
"MMP9","TCGA-KK-A8IJ-01",7.4653
"MMP9","TCGA-G9-7509-01",2.972
"MMP9","TCGA-CH-5765-01",7.5561
"MMP9","TCGA-KK-A6E1-01",6.1284
"MMP9","TCGA-CH-5791-01",7.8281
"MMP9","TCGA-V1-A9OX-01",9.4982
"MMP9","TCGA-V1-A9O5-01",8.7772
"MMP9","TCGA-HC-8216-01",9.6854
"MMP9","TCGA-V1-A9OA-01",6.4933
"MMP9","TCGA-KC-A4BL-01",8.0326
"MMP9","TCGA-YL-A8SA-01",6.6538
"MMP9","TCGA-CH-5761-11",5.3839
"MMP9","TCGA-HC-7211-11",2.9541
"MMP9","TCGA-ZG-A9L9-01",5.7188
"MMP9","TCGA-HC-7077-01",7.7452
"MMP9","TCGA-J4-A67R-01",8.545
"MMP9","TCGA-HC-7737-01",8.3184
"MMP9","TCGA-VP-A87K-01",7.263
"MMP9","TCGA-J9-A52B-01",8.3323
"MMP9","TCGA-V1-A8MG-01",5.9007
"MMP9","TCGA-KK-A8IM-01",7.6049
"MMP9","TCGA-CH-5769-11",6.6373
"MMP9","TCGA-EJ-AB27-01",8.6503
"MMP9","TCGA-EJ-5504-01",7.1471
"MMP9","TCGA-G9-6377-01",8.7028
"MMP9","TCGA-HC-7737-11",3.9867
"MMP9","TCGA-HC-7742-01",7.0023
"MMP9","TCGA-EJ-A7NK-01",6.3662
"MMP9","TCGA-HC-7213-01",7.9633
"MMP9","TCGA-KK-A7AZ-01",6.5482
"MMP9","TCGA-EJ-7330-01",5.6252
"MMP9","TCGA-KK-A8IC-01",6.1318
"MMP9","TCGA-ZG-A9LN-01",9.2799
"MMP9","TCGA-KK-A59Y-01",7.9883
"MMP9","TCGA-HC-A76W-01",8.3518
"MMP9","TCGA-KC-A7F5-01",4.5083
"MMP9","TCGA-VN-A88L-01",6.2014
"MMP9","TCGA-KK-A8IB-01",8.6148
"MMP9","TCGA-HC-7818-01",7.4533
"MMP9","TCGA-EJ-A46E-01",2.969
"MMP9","TCGA-HC-7745-01",6.6696
"MMP9","TCGA-EJ-5506-01",5.004
"MMP9","TCGA-V1-A8WL-01",8.4934
"MMP9","TCGA-KK-A8I6-01",7.724
"MMP9","TCGA-TP-A8TT-01",9.4521
"MMP9","TCGA-G9-6499-01",7.0575
"MMP9","TCGA-HC-A6AN-01",10.0128
"MMP9","TCGA-VP-A87C-01",10.4983
"MMP9","TCGA-EJ-5496-01",7.5043
"MMP9","TCGA-KK-A6E6-01",6.5508
"MMP9","TCGA-EJ-7781-01",8.775
"MMP9","TCGA-HI-7169-01",5.0728
"MMP9","TCGA-J4-A67N-01",11.7209
"MMP9","TCGA-EJ-7321-11",5.5277
"MMP9","TCGA-HC-A48F-01",7.4294
"MMP9","TCGA-G9-6371-01",7.3078
"MMP9","TCGA-EJ-7794-01",9.3028
"MMP9","TCGA-G9-6384-11",3.247
"MMP9","TCGA-YL-A9WH-01",8.7081
"MMP9","TCGA-HC-7747-11",2.4521
"MMP9","TCGA-V1-A9ZR-01",9.6774
"MMP9","TCGA-EJ-7786-11",7.6937
"MMP9","TCGA-ZG-A9LZ-01",8.5438
"MMP9","TCGA-EJ-7315-11",9.3031
"MMP9","TCGA-HC-A9TH-01",8.9761
"MMP9","TCGA-V1-A9O7-01",8.9544
"MMP9","TCGA-HC-A6HY-01",6.0034
"MMP9","TCGA-CH-5739-01",5.7512
"MMP9","TCGA-XK-AAIV-01",10.6224
"MMP9","TCGA-J4-A6G3-01",8.7425
"MMP9","TCGA-KC-A7FA-01",8.1347
"MMP9","TCGA-HC-7749-01",7.9469
"MMP9","TCGA-HC-8258-01",5.9102
"MMP9","TCGA-EJ-7797-11",4.4127
"MMP9","TCGA-HC-7079-01",12.7427
"MMP9","TCGA-EJ-7123-11",7.4065
"MMP9","TCGA-2A-A8VO-01",8.4288
"MMP9","TCGA-M7-A71Z-01",2.8223
"MMP9","TCGA-EJ-7788-01",6.4452
"MMP9","TCGA-KK-A8I4-01",9.5302
"MMP9","TCGA-XJ-A83G-01",8.1436
"MMP9","TCGA-YL-A9WX-01",8.5406
"MMP9","TCGA-J4-A67L-01",8.0641
"MMP9","TCGA-2A-AAYF-01",7.6071
"MMP9","TCGA-EJ-5505-01",4
"MMP9","TCGA-V1-A9ZK-01",5.2373
"MMP9","TCGA-XJ-A9DX-01",4.147
"MMP9","TCGA-V1-A9OY-01",8.6077
"MMP9","TCGA-VN-A88O-01",8.144
"MMP9","TCGA-EJ-A46F-01",7.1238
"MMP9","TCGA-G9-6373-01",7.346
"MMP9","TCGA-VN-A88R-01",3.9321
"MMP9","TCGA-G9-6379-01",9.5031
"MMP9","TCGA-CH-5737-01",8.3086
"MMP9","TCGA-VP-A87B-01",6.8949
"MMP9","TCGA-HC-A8D1-01",6.0952
"MMP9","TCGA-J4-A83L-01",8.0784
"MMP9","TCGA-V1-A8WW-01",8.6075
"MMP9","TCGA-EJ-A8FO-01",8.3729
"MMP9","TCGA-QU-A6IN-01",8.0323
"MMP9","TCGA-FC-7708-01",7.346
"MMP9","TCGA-YL-A8SH-01",6.9743
"MMP9","TCGA-KC-A7FE-01",8.0888
"MMP9","TCGA-V1-A8ML-01",5.3959
"MMP9","TCGA-HC-A6AQ-01",6.7481
"MMP9","TCGA-H9-A6BY-01",3.3183
"MMP9","TCGA-EJ-7314-11",6.4371
"MMP9","TCGA-KK-A6E8-01",2.9144
"MMP9","TCGA-HC-A6AP-01",11.2316
"MMP9","TCGA-EJ-7317-01",4.7184
"MMP9","TCGA-YL-A8S9-01",5.552
"MMP9","TCGA-KK-A8IA-01",8.1826
"MMP9","TCGA-G9-6356-01",7.5333
"MMP9","TCGA-YL-A8SO-01",8.5358
"MMP9","TCGA-J4-A67Q-01",9.023
"MMP9","TCGA-KK-A6E4-01",7.094
"MMP9","TCGA-KK-A7B0-01",11.1259
"MMP9","TCGA-EJ-5511-01",6.7454
"MMP2","TCGA-XJ-A83F-01",10.5476
"MMP2","TCGA-G9-6348-01",11.3641
"MMP2","TCGA-CH-5766-01",10.4912
"MMP2","TCGA-EJ-A65G-01",10.0428
