"sample_id","MMP9","MMP2","MAPK3","MAPK1","TWIST1","SNAI1"
"TCGA-YL-A9WL-01",7.1598,10.2826,10.1445,11.3298,8.1831,4.8864
"TCGA-ZG-A9LB-01",7.2956,11.0773,10.0986,10.9836,8.5391,6.8322
"TCGA-HC-7744-01",7.239,9.9082,9.8981,11.8288,6.3348,4.0765
"TCGA-H9-7775-01",8.2151,11.0444,9.5602,11.7131,9.1168,4.5373
"TCGA-KC-A4BN-01",5.6446,9.1092,9.7037,11.5172,5.7795,6.2818
"TCGA-KK-A7B1-01",6.4854,11.2649,10.1134,11.2974,8.6807,6.743
"TCGA-EJ-7123-01",7.8786,10.2777,9.7542,11.9134,6.1348,5.4313
"TCGA-CH-5746-01",7.3598,10.2616,9.6628,11.8218,7.2843,4.8323
"TCGA-V1-A8MJ-01",10.8851,11.0425,10.0325,10.8261,7.8739,5.4984
"TCGA-J4-AATZ-01",7.4815,9.1947,9.5218,11.8463,6.8376,4.7169
"TCGA-HC-A76X-01",7.8664,10.371,9.4137,11.2685,8.0887,3.4018
"TCGA-CH-5763-01",7.8042,11.6523,9.7093,11.6988,6.4978,7.3783
"TCGA-G9-7523-01",8.6914,13.3374,10.538,11.7598,6.5293,6.708
"TCGA-EJ-A7NM-01",8.9354,11.5021,10.1913,11.1858,8.7418,5.3183
"TCGA-VP-A878-01",8.3642,11.0684,10.1426,11.1898,4.4775,6.5179
"TCGA-EJ-7115-01",4.6605,10.9608,9.9476,11.7335,4.5918,5.0836
"TCGA-EJ-5530-01",6.7362,11.1295,9.3479,11.7678,8.0677,4.4276
"TCGA-EJ-A7NN-01",7.3446,10.1195,10.4877,11.3627,5.7583,4.5932
"TCGA-EJ-A7NH-01",4.0651,11.086,10.221,11.3649,8.9346,5.0742
"TCGA-CH-5762-01",8.661,11.0166,9.5459,11.904,8.7716,6.5065
"TCGA-G9-6365-01",6.38,11.7886,10.3726,11.5046,8.135,5.5633
"TCGA-CH-5741-01",6.0594,9.039,9.6384,11.1514,8.6169,3.7352
"TCGA-EJ-5512-01",7.0676,9.9072,10.1655,11.7478,7.7905,4.6965
"TCGA-V1-A9OQ-01",7.5548,10.4741,9.7903,11.1191,6.3307,5.624
"TCGA-EJ-8474-01",8.707,11.2019,9.6937,11.6526,10.5011,4.7137
"TCGA-EJ-7328-01",8.22,11.3146,10.2319,11.3133,7.7723,5.4123
"TCGA-M7-A71Y-01",8.0647,11.6455,10.2702,10.6773,7.6203,5.3397
"TCGA-CH-5740-01",6.848,10.4908,9.9608,11.5285,7.8798,4.53
"TCGA-EJ-5521-01",8.348,10.5144,10.3732,11.6519,6.6466,4.7603
"TCGA-EJ-5494-01",8.4896,11.3131,10.3055,12.0436,6.0903,5.5159
"TCGA-V1-A9OF-01",4.6779,9.2537,10.0735,11.6778,7.9224,3.5091
"TCGA-HC-7747-01",7.4577,10.6032,10.1526,11.5177,7.0307,4.352
"TCGA-HC-7820-01",5.7063,9.6928,9.6858,11.4836,6.7564,4.0763
"TCGA-EJ-5525-01",8.1181,11.9276,9.3184,11.9562,7.4241,6.4325
"TCGA-4L-AA1F-01",12.4285,14.4809,10.1143,11.5133,8.615,8.0602
"TCGA-EJ-7325-01",8.7803,11.0785,9.8591,10.0325,8.4021,5.1207
"TCGA-KK-A8I5-01",8.7533,10.7819,9.5075,11.4991,6.625,6.4588
"TCGA-ZG-A9L5-01",6.1797,9.3413,10.4897,11.7225,12.6508,4.2701
"TCGA-G9-7525-01",6.087,11.3735,10.071,11.3595,7.482,4.6445
"TCGA-XA-A8JR-01",7.8082,10.9913,9.9296,11.575,7.4218,4.7288
"TCGA-HC-8257-01",6.1434,11.1679,9.7823,11.6055,7.9655,4.1306
"TCGA-KK-A8ID-01",7.6022,8.2092,9.553,12.113,4.9859,4.5435
"TCGA-YL-A9WJ-01",8.4603,11.2587,10.1425,11.5728,5.2141,6.572
"TCGA-EJ-A6RA-01",7.0786,10.587,10.1608,11.0642,4.8399,5.0514
"TCGA-CH-5794-01",8.3159,9.8932,10.0677,11.6033,8.0066,5.9728
"TCGA-FC-A6HD-01",6.8353,8.797,10.176,10.8361,5.5946,4.6971
"TCGA-EJ-A7NG-01",6.2824,11.1477,10.0518,11.4388,5.1039,5.017
"TCGA-EJ-A65J-01",6.5528,10.1438,9.5248,11.7045,4.0976,4.6975
"TCGA-J4-A67T-01",8.5393,10.1804,9.5445,11.3601,6.8069,6.6434
"TCGA-V1-A8WV-01",7.5222,11.1053,10.7501,11.0756,5.4145,5.4859
"TCGA-V1-A9Z9-01",8.029,11.3952,10.3575,11.4767,6.2682,5.564
"TCGA-V1-A9OL-01",8.577,10.947,10.5414,11.201,7.4011,4.9369
"TCGA-G9-7519-01",6.4067,10.9497,10.3038,11.7899,8.9603,5.3728
"TCGA-ZG-A9MC-01",10.9057,12.4182,10.8627,11.1152,6.2011,6.556
"TCGA-VN-A943-01",5.8137,7.9321,9.7953,11.6776,5.7952,3.4653
