"sample_id","SERPINB1_Beta","Gene","Expression"
"TCGA-EJ-5494-01",0.66311,"MAPK3",10.3055
"TCGA-EJ-5494-01",0.66311,"MAPK1",12.0436
"TCGA-EJ-5494-01",0.66311,"TWIST1",6.0903
"TCGA-EJ-5494-01",0.66311,"SNAI1",5.5159
"TCGA-EJ-5495-01",0.48425,"MMP9",9.1423
"TCGA-EJ-5495-01",0.48425,"MMP2",11.5314
"TCGA-EJ-5495-01",0.48425,"MAPK3",9.5495
"TCGA-EJ-5495-01",0.48425,"MAPK1",11.9506
"TCGA-EJ-5495-01",0.48425,"TWIST1",8.0171
"TCGA-EJ-5495-01",0.48425,"SNAI1",5.7679
"TCGA-EJ-5496-01",0.58414,"MMP9",7.5043
"TCGA-EJ-5496-01",0.58414,"MMP2",9.4328
"TCGA-EJ-5496-01",0.58414,"MAPK3",9.3132
"TCGA-EJ-5496-01",0.58414,"MAPK1",11.7704
"TCGA-EJ-5496-01",0.58414,"TWIST1",7.2375
"TCGA-EJ-5496-01",0.58414,"SNAI1",4.4952
"TCGA-EJ-5497-01",0.54776,"MMP9",8.1778
"TCGA-EJ-5497-01",0.54776,"MMP2",11.3613
"TCGA-EJ-5497-01",0.54776,"MAPK3",9.5252
"TCGA-EJ-5497-01",0.54776,"MAPK1",12.0663
"TCGA-EJ-5497-01",0.54776,"TWIST1",6.9641
"TCGA-EJ-5497-01",0.54776,"SNAI1",5.1997
"TCGA-EJ-5498-01",0.32099,"MMP9",7.2643
"TCGA-EJ-5498-01",0.32099,"MMP2",11.2649
"TCGA-EJ-5498-01",0.32099,"MAPK3",9.9533
"TCGA-EJ-5498-01",0.32099,"MAPK1",11.9625
"TCGA-EJ-5498-01",0.32099,"TWIST1",7.088
"TCGA-EJ-5498-01",0.32099,"SNAI1",6.0292
"TCGA-EJ-5499-01",0.5113,"MMP9",6.3751
"TCGA-EJ-5499-01",0.5113,"MMP2",10.5189
"TCGA-EJ-5499-01",0.5113,"MAPK3",10.0243
"TCGA-EJ-5499-01",0.5113,"MAPK1",11.8743
"TCGA-EJ-5499-01",0.5113,"TWIST1",7.5761
"TCGA-EJ-5499-01",0.5113,"SNAI1",4.6683
"TCGA-EJ-5501-01",0.50166,"MMP9",7.17
"TCGA-EJ-5501-01",0.50166,"MMP2",10.7473
"TCGA-EJ-5501-01",0.50166,"MAPK3",9.935
"TCGA-EJ-5501-01",0.50166,"MAPK1",11.7237
"TCGA-EJ-5501-01",0.50166,"TWIST1",8.5597
"TCGA-EJ-5501-01",0.50166,"SNAI1",5.2727
"TCGA-EJ-5502-01",0.50352,"MMP9",8.3521
"TCGA-EJ-5502-01",0.50352,"MMP2",11.4802
"TCGA-EJ-5502-01",0.50352,"MAPK3",9.9172
"TCGA-EJ-5502-01",0.50352,"MAPK1",11.8435
"TCGA-EJ-5502-01",0.50352,"TWIST1",6.0221
"TCGA-EJ-5502-01",0.50352,"SNAI1",6.1505
"TCGA-EJ-5503-01",0.24405,"MMP9",8.6787
"TCGA-EJ-5503-01",0.24405,"MMP2",11.5291
"TCGA-EJ-5503-01",0.24405,"MAPK3",10.5514
"TCGA-EJ-5503-01",0.24405,"MAPK1",11.7503
"TCGA-EJ-5503-01",0.24405,"TWIST1",6.0514
"TCGA-EJ-5503-01",0.24405,"SNAI1",6.2126
"TCGA-EJ-5504-01",0.59436,"MMP9",7.1471
"TCGA-EJ-5504-01",0.59436,"MMP2",11.401
"TCGA-EJ-5504-01",0.59436,"MAPK3",9.7963
"TCGA-EJ-5504-01",0.59436,"MAPK1",11.8871
"TCGA-EJ-5504-01",0.59436,"TWIST1",8.2276
"TCGA-EJ-5504-01",0.59436,"SNAI1",5.2378
"TCGA-EJ-5505-01",0.54868,"MMP9",4
"TCGA-EJ-5505-01",0.54868,"MMP2",9.9025
"TCGA-EJ-5505-01",0.54868,"MAPK3",9.8778
"TCGA-EJ-5505-01",0.54868,"MAPK1",12.1861
"TCGA-EJ-5505-01",0.54868,"TWIST1",6.8756
"TCGA-EJ-5505-01",0.54868,"SNAI1",4.1526
"TCGA-EJ-5506-01",0.363,"MMP9",5.004
"TCGA-EJ-5506-01",0.363,"MMP2",10.3532
"TCGA-EJ-5506-01",0.363,"MAPK3",9.5838
"TCGA-EJ-5506-01",0.363,"MAPK1",11.8442
"TCGA-EJ-5506-01",0.363,"TWIST1",4.7004
"TCGA-EJ-5506-01",0.363,"SNAI1",3.6483
"TCGA-EJ-5507-01",0.59312,"MMP9",8.0339
"TCGA-EJ-5507-01",0.59312,"MMP2",9.9861
"TCGA-EJ-5507-01",0.59312,"MAPK3",9.7925
"TCGA-EJ-5507-01",0.59312,"MAPK1",12.0074
"TCGA-EJ-5507-01",0.59312,"TWIST1",5.0081
"TCGA-EJ-5507-01",0.59312,"SNAI1",4.2503
"TCGA-EJ-5508-01",0.51929,"MMP9",9.1937
"TCGA-EJ-5508-01",0.51929,"MMP2",10.8198
"TCGA-EJ-5508-01",0.51929,"MAPK3",9.8683
"TCGA-EJ-5508-01",0.51929,"MAPK1",11.8994
"TCGA-EJ-5508-01",0.51929,"TWIST1",6.8741
"TCGA-EJ-5508-01",0.51929,"SNAI1",4.4478
"TCGA-EJ-5509-01",0.54996,"MMP9",10.8271
"TCGA-EJ-5509-01",0.54996,"MMP2",11.9651
"TCGA-EJ-5509-01",0.54996,"MAPK3",10.2178
"TCGA-EJ-5509-01",0.54996,"MAPK1",11.9352
"TCGA-EJ-5509-01",0.54996,"TWIST1",8.1184
"TCGA-EJ-5509-01",0.54996,"SNAI1",5.6854
"TCGA-EJ-5510-01",0.45882,"MMP9",6.9033
"TCGA-EJ-5510-01",0.45882,"MMP2",11.0235
"TCGA-EJ-5510-01",0.45882,"MAPK3",10.0424
"TCGA-EJ-5510-01",0.45882,"MAPK1",11.8734
"TCGA-EJ-5510-01",0.45882,"TWIST1",8.8893
"TCGA-EJ-5510-01",0.45882,"SNAI1",4.6952
"TCGA-EJ-5511-01",0.68766,"MMP9",6.7454
"TCGA-EJ-5511-01",0.68766,"MMP2",11.1807
"TCGA-EJ-5511-01",0.68766,"MAPK3",10.18
"TCGA-EJ-5511-01",0.68766,"MAPK1",11.6943
"TCGA-EJ-5511-01",0.68766,"TWIST1",9.3466
"TCGA-EJ-5511-01",0.68766,"SNAI1",4.7285
"TCGA-EJ-5512-01",0.48874,"MMP9",7.0676
"TCGA-EJ-5512-01",0.48874,"MMP2",9.9072
"TCGA-EJ-5512-01",0.48874,"MAPK3",10.1655
"TCGA-EJ-5512-01",0.48874,"MAPK1",11.7478
"TCGA-EJ-5512-01",0.48874,"TWIST1",7.7905
"TCGA-EJ-5512-01",0.48874,"SNAI1",4.6965
"TCGA-EJ-5514-01",0.53093,"MMP9",6.7234
"TCGA-EJ-5514-01",0.53093,"MMP2",11.7498
"TCGA-EJ-5514-01",0.53093,"MAPK3",9.7705
"TCGA-EJ-5514-01",0.53093,"MAPK1",12.3734
"TCGA-EJ-5514-01",0.53093,"TWIST1",4.5939
"TCGA-EJ-5514-01",0.53093,"SNAI1",5.9788
"TCGA-EJ-5515-01",0.31433,"MMP9",2.1642
"TCGA-EJ-5515-01",0.31433,"MMP2",10.5277
"TCGA-EJ-5515-01",0.31433,"MAPK3",9.7169
"TCGA-EJ-5515-01",0.31433,"MAPK1",12.2058
"TCGA-EJ-5515-01",0.31433,"TWIST1",5.0346
"TCGA-EJ-5515-01",0.31433,"SNAI1",5.1975
"TCGA-EJ-5516-01",0.45423,"MMP9",6.5256
"TCGA-EJ-5516-01",0.45423,"MMP2",11.0634
"TCGA-EJ-5516-01",0.45423,"MAPK3",9.7199
"TCGA-EJ-5516-01",0.45423,"MAPK1",12.0137
"TCGA-EJ-5516-01",0.45423,"TWIST1",6.393
"TCGA-EJ-5516-01",0.45423,"SNAI1",5.0966
"TCGA-EJ-5517-01",0.48085,"MMP9",8.2829
"TCGA-EJ-5517-01",0.48085,"MMP2",10.9246
"TCGA-EJ-5517-01",0.48085,"MAPK3",9.747
