"sample_id","SERPINB1_Beta"
"TCGA-KK-A8IM-01",0.39988
"TCGA-M7-A71Y-01",0.36764
"TCGA-M7-A71Z-01",0.79598
"TCGA-M7-A720-01",0.33313
"TCGA-M7-A721-01",0.55579
"TCGA-M7-A722-01",0.71606
"TCGA-M7-A723-01",0.53963
"TCGA-M7-A724-01",0.8905
"TCGA-M7-A725-01",0.60564
"TCGA-MG-AAMC-01",0.76256
"TCGA-QU-A6IL-01",0.72637
"TCGA-QU-A6IM-01",0.56833
"TCGA-QU-A6IN-01",0.80034
"TCGA-QU-A6IO-01",0.63648
"TCGA-QU-A6IP-01",0.54427
"TCGA-SU-A7E7-01",0.47754
"TCGA-TK-A8OK-01",0.52503
"TCGA-TP-A8TT-01",0.50553
"TCGA-TP-A8TV-01",0.83739
"TCGA-V1-A8MF-01",0.38476
"TCGA-V1-A8MG-01",0.55556
"TCGA-V1-A8MJ-01",0.3635
"TCGA-V1-A8MK-01",0.42543
"TCGA-V1-A8ML-01",0.61731
"TCGA-V1-A8MM-01",0.68118
"TCGA-V1-A8MU-01",0.51202
"TCGA-V1-A8WL-01",0.59752
"TCGA-V1-A8WN-01",0.45624
"TCGA-V1-A8WS-01",0.66137
"TCGA-V1-A8WV-01",0.10213
"TCGA-V1-A8WW-01",0.72471
"TCGA-V1-A8X3-01",0.60228
"TCGA-V1-A9O5-01",0.28802
"TCGA-V1-A9O7-01",0.42676
"TCGA-V1-A9O9-01",0.47418
"TCGA-V1-A9OA-01",0.49865
"TCGA-V1-A9OF-01",0.74768
"TCGA-V1-A9OH-01",0.47924
"TCGA-V1-A9OL-01",0.61349
"TCGA-V1-A9OQ-01",0.66848
"TCGA-V1-A9OT-01",0.68465
"TCGA-V1-A9OX-01",0.52632
"TCGA-V1-A9OY-01",0.50898
"TCGA-V1-A9Z7-01",0.51801
"TCGA-V1-A9Z8-01",0.50604
"TCGA-V1-A9Z9-01",0.58345
"TCGA-V1-A9ZG-01",0.3763
"TCGA-V1-A9ZI-01",0.434
"TCGA-V1-A9ZK-01",0.5125
"TCGA-V1-A9ZR-01",0.47579
"TCGA-VN-A88I-01",0.29873
"TCGA-VN-A88K-01",0.63459
"TCGA-VN-A88L-01",0.59258
"TCGA-VN-A88M-01",0.68148
"TCGA-VN-A88N-01",0.51397
"TCGA-VN-A88O-01",0.68363
"TCGA-VN-A88P-01",0.72806
"TCGA-VN-A88Q-01",0.61126
"TCGA-VN-A88R-01",0.64528
"TCGA-VN-A943-01",0.7834
"TCGA-VP-A872-01",0.5515
"TCGA-VP-A875-01",0.91049
"TCGA-VP-A876-01",0.65964
"TCGA-VP-A878-01",0.43003
"TCGA-VP-A879-01",0.52807
"TCGA-VP-A87B-01",0.83241
"TCGA-VP-A87C-01",0.30153
"TCGA-VP-A87D-01",0.4024
"TCGA-VP-A87E-01",0.477
"TCGA-VP-A87H-01",0.5435
"TCGA-VP-A87J-01",0.67853
"TCGA-VP-A87K-01",0.78914
"TCGA-VP-AA1N-01",0.51792
"TCGA-WW-A8ZI-01",0.84721
"TCGA-X4-A8KQ-01",0.4628
"TCGA-X4-A8KS-01",0.37128
"TCGA-XA-A8JR-01",0.52836
"TCGA-XJ-A83F-01",0.71935
"TCGA-XJ-A83G-01",0.71087
"TCGA-XJ-A83H-01",0.5849
"TCGA-XJ-A9DI-01",0.30844
"TCGA-XJ-A9DK-01",0.27769
"TCGA-XJ-A9DQ-01",0.37778
"TCGA-XJ-A9DX-01",0.71216
"TCGA-XK-AAIR-01",0.39331
"TCGA-XK-AAIV-01",0.14948
"TCGA-XK-AAIW-01",0.66927
"TCGA-XK-AAJ3-01",0.69427
"TCGA-XK-AAJA-01",0.66132
"TCGA-XK-AAJP-01",0.73824
"TCGA-XK-AAJR-01",0.50923
"TCGA-XK-AAJT-01",0.62059
"TCGA-XK-AAJU-01",0.1936
"TCGA-XK-AAK1-01",0.68159
"TCGA-XQ-A8TA-01",0.80564
"TCGA-XQ-A8TB-01",0.51975
"TCGA-Y6-A8TL-01",0.61288
"TCGA-Y6-A9XI-01",0.47987
"TCGA-YJ-A8SW-01",0.75837
"TCGA-YL-A8HJ-01",0.43158
"TCGA-YL-A8HK-01",0.41073
"TCGA-YL-A8HL-01",0.66666
"TCGA-YL-A8HM-01",0.66588
"TCGA-YL-A8HO-01",0.51114
"TCGA-YL-A8S8-01",0.58364
"TCGA-YL-A8S9-01",0.89522
"TCGA-YL-A8SA-01",0.75308
"TCGA-YL-A8SB-01",0.59371
"TCGA-YL-A8SC-01",0.56652
"TCGA-YL-A8SF-01",0.62303
"TCGA-YL-A8SH-01",0.62724
"TCGA-YL-A8SI-01",0.49516
"TCGA-YL-A8SJ-01",0.556
"TCGA-YL-A8SK-01",0.45614
"TCGA-YL-A8SL-01",0.72565
"TCGA-YL-A8SO-01",0.58681
"TCGA-YL-A8SP-01",0.78975
"TCGA-YL-A8SQ-01",0.69559
"TCGA-YL-A8SR-01",0.63327
"TCGA-YL-A9WH-01",0.69557
"TCGA-YL-A9WI-01",0.80424
"TCGA-YL-A9WJ-01",0.45157
"TCGA-YL-A9WK-01",0.44245
"TCGA-YL-A9WL-01",0.85164
"TCGA-YL-A9WX-01",0.36546
"TCGA-YL-A9WY-01",0.41849
"TCGA-ZG-A8QW-01",0.45144
"TCGA-ZG-A8QX-01",0.4998
"TCGA-ZG-A8QY-01",0.56111
"TCGA-ZG-A8QZ-01",0.45187
"TCGA-ZG-A9KY-01",0.60279
